day,time,size
Sun,Dinner,2
Sun,Dinner,3
Sun,Dinner,3
Sun,Dinner,2
Sun,Dinner,4
Sun,Dinner,4
Sun,Dinner,2
Sun,Dinner,4
Sun,Dinner,2
Sun,Dinner,2
Sun,Dinner,2
Sun,Dinner,4
Sun,Dinner,2
Sun,Dinner,4
Sun,Dinner,2
Sun,Dinner,2
Sun,Dinner,3
Sun,Dinner,3
Sun,Dinner,3
Sat,Dinner,3
Sat,Dinner,2
Sat,Dinner,2
Sat,Dinner,2
Sat,Dinner,4
Sat,Dinner,2
Sat,Dinner,4
Sat,Dinner,2
Sat,Dinner,2
Sat,Dinner,2
Sat,Dinner,2
Sat,Dinner,2
Sat,Dinner,4
Sat,Dinner,2
Sat,Dinner,4
Sat,Dinner,2
Sat,Dinner,3
Sat,Dinner,3
Sat,Dinner,3
Sat,Dinner,3
Sat,Dinner,3
Sat,Dinner,3
Sun,Dinner,2
Sun,Dinner,2
Sun,Dinner,2
Sun,Dinner,4
Sun,Dinner,2
Sun,Dinner,2
Sun,Dinner,4
Sun,Dinner,3
Sun,Dinner,2
Sun,Dinner,2
Sun,Dinner,2
Sun,Dinner,4
Sun,Dinner,2
Sun,Dinner,4
Sun,Dinner,2
Sat,Dinner,4
Sat,Dinner,2
Sat,Dinner,2
Sat,Dinner,4
Sat,Dinner,2
Sat,Dinner,2
Sat,Dinner,2
Sat,Dinner,4
Sat,Dinner,3
Sat,Dinner,3
Sat,Dinner,2
Sat,Dinner,1
Sat,Dinner,2
Sat,Dinner,2
Sat,Dinner,2
Sat,Dinner,3
Sat,Dinner,2
Sat,Dinner,2
Sat,Dinner,2
Sat,Dinner,2
Sat,Dinner,2
Thur,Lunch,4
Thur,Lunch,2
Thur,Lunch,2
Thur,Lunch,2
Thur,Lunch,2
Thur,Lunch,1
Thur,Lunch,2
Thur,Lunch,2
Thur,Lunch,4
Thur,Lunch,2
Thur,Lunch,2
Thur,Lunch,2
Thur,Lunch,2
Fri,Dinner,2
Fri,Dinner,2
Fri,Dinner,2
Fri,Dinner,2
Fri,Dinner,2
Fri,Dinner,4
Fri,Dinner,2
Fri,Dinner,2
Fri,Dinner,2
Fri,Dinner,2
Fri,Dinner,2
Fri,Dinner,2
Sat,Dinner,3
Sat,Dinner,2
Sat,Dinner,2
Sat,Dinner,2
Sat,Dinner,2
Sat,Dinner,2
Sat,Dinner,2
Sat,Dinner,2
Sat,Dinner,2
Sat,Dinner,1
Sun,Dinner,3
Sun,Dinner,2
Sun,Dinner,3
Sun,Dinner,2
Sun,Dinner,4
Thur,Lunch,2
Thur,Lunch,2
Thur,Lunch,4
Thur,Lunch,2
Thur,Lunch,2
Thur,Lunch,2
Thur,Lunch,2
Thur,Lunch,2
Thur,Lunch,6
Thur,Lunch,2
Thur,Lunch,2
Thur,Lunch,2
Thur,Lunch,3
Thur,Lunch,2
Thur,Lunch,2
Thur,Lunch,2
Thur,Lunch,2
Thur,Lunch,2
Thur,Lunch,2
Thur,Lunch,2
Thur,Lunch,2
Thur,Lunch,2
Thur,Lunch,2
Thur,Lunch,2
Thur,Lunch,6
Thur,Lunch,5
Thur,Lunch,6
Thur,Lunch,2
Thur,Lunch,2
Thur,Lunch,3
Thur,Lunch,2
Thur,Lunch,2
Thur,Lunch,2
Sun,Dinner,2
Sun,Dinner,2
Sun,Dinner,3
Sun,Dinner,4
Sun,Dinner,4
Sun,Dinner,5
Sun,Dinner,6
Sun,Dinner,4
Sun,Dinner,2
Sun,Dinner,4
Sun,Dinner,4
Sun,Dinner,2
Sun,Dinner,3
Sun,Dinner,2
Sun,Dinner,2
Sun,Dinner,3
Sun,Dinner,2
Sun,Dinner,4
Sat,Dinner,2
Sat,Dinner,2
Sat,Dinner,3
Sat,Dinner,2
Sun,Dinner,2
Sun,Dinner,2
Sun,Dinner,2
Sun,Dinner,2
Sun,Dinner,2
Sun,Dinner,2
Sun,Dinner,2
Sun,Dinner,2
Sun,Dinner,4
Sun,Dinner,2
Sun,Dinner,3
Sun,Dinner,4
Sun,Dinner,2
Sun,Dinner,5
Sun,Dinner,3
Sun,Dinner,5
Sun,Dinner,3
Sun,Dinner,3
Sun,Dinner,2
Thur,Lunch,2
Thur,Lunch,2
Thur,Lunch,2
Thur,Lunch,2
Thur,Lunch,2
Thur,Lunch,2
Thur,Lunch,4
Thur,Lunch,2
Thur,Lunch,2
Thur,Lunch,3
Thur,Lunch,2
Thur,Lunch,2
Thur,Lunch,2
Thur,Lunch,4
Thur,Lunch,3
Sat,Dinner,3
Sat,Dinner,4
Sat,Dinner,2
Sat,Dinner,2
Sat,Dinner,3
Sat,Dinner,4
Sat,Dinner,4
Sat,Dinner,2
Sat,Dinner,3
Sat,Dinner,2
Sat,Dinner,5
Sat,Dinner,2
Sat,Dinner,2
Sat,Dinner,4
Fri,Lunch,2
Fri,Lunch,2
Fri,Lunch,1
Fri,Lunch,3
Fri,Lunch,2
Fri,Lunch,2
Fri,Lunch,2
Sat,Dinner,4
Sat,Dinner,2
Sat,Dinner,2
Sat,Dinner,4
Sat,Dinner,3
Sat,Dinner,2
Sat,Dinner,2
Sat,Dinner,2
Sat,Dinner,2
Sat,Dinner,2
Sat,Dinner,2
Sat,Dinner,3
Sat,Dinner,3
Sat,Dinner,2
Sat,Dinner,2
Sat,Dinner,2
Thur,Dinner,2
